,p1mean,p1median,p1std,p2mean,p2median,p2std,pval,reaction
191,-1.76152313015e-13,-1.70567174374e-13,1.08561206686e-13,2.50211819944e-12,1.05187319922e-12,2.44950593801e-12,0.002,DNTPPA
192,-5.39153076334e-13,-4.96148007353e-13,3.23236026206e-13,8.46298019038e-13,9.21481192733e-13,3.42144441425e-13,0.002,HPPK2
193,2.27833922855e-13,1.82218238071e-13,1.79852054589e-13,-2.88921625272e-12,-2.60813596697e-12,2.03181827283e-12,0.002,ADCS
194,-1.76152313015e-13,-1.70567174374e-13,1.08561206686e-13,2.52158043084e-12,1.07284016229e-12,2.45576184601e-12,0.002,DHFS
195,3.28505020035e-13,2.82136399954e-13,1.93712080872e-13,-2.88164238807e-12,-2.59796248897e-12,2.02980436275e-12,0.002,ADCL
196,3.85853127227e-13,0.0,1.44940375926e-12,4.61432136944e-12,4.66116034659e-12,3.55080189362e-12,0.212,DACL
197,-5.82793075113e-14,-5.74535809007e-14,4.00959864819e-14,8.8226312386e-13,9.52028557435e-13,3.49014303454e-13,0.002,DHPS2_1
198,-1.76152313015e-13,-1.70567174374e-13,1.08561206686e-13,2.50211819944e-12,1.05187319922e-12,2.44950593801e-12,0.002,GTPCI_2
199,-1.76152313015e-13,-1.70567174374e-13,1.08561206686e-13,2.50215250608e-12,1.05195753227e-12,2.44955877037e-12,0.002,DHNPA2r
200,-5.93650850533e-15,-6.61668335636e-15,2.9235029196e-15,-1.52181871028e-15,-1.36712484202e-15,9.51379787187e-16,0.136,PMANM
201,-8.65794434295e-14,-1.06431760146e-13,4.96549410953e-14,-1.90559079747e-14,-1.66665105604e-14,1.22584172257e-14,0.392,FRUK
202,761.414328541,758.680866187,57.3376479763,765.530736036,770.971645682,87.0458812199,0.984,r0191
203,8.47809831658e-15,7.7229035959e-15,5.99206743058e-15,-1.89989789793e-15,-1.69723474568e-15,1.07148459563e-15,0.002,SBTPD
204,-0.428844661215,-0.285938585074,0.423642329865,-0.332101930873,-0.228645774054,0.318389292024,0.936,MAN1PT2
205,1.71303692225e-14,1.29376687394e-14,1.59696753527e-14,3.76787032773e-13,2.64776994759e-13,2.46106054123e-13,0.002,A6PAG
206,0.0,0.0,0.0,0.0,0.0,0.0,0.002,AM6PT
207,256.898784753,263.350096461,58.031991879,293.697121411,299.067357431,67.1915354493,0.66,FBP
208,150.279126797,148.502813017,46.1692118243,221.806712334,232.772369989,80.799361113,0.566,TALA
209,0.832970518951,0.720485827025,0.646698714816,1.38769181607,1.07961952559,1.16086234286,0.686,ABFPT
210,-156.916292093,-155.255204481,46.1498957657,-228.10605049,-238.568737525,80.6753052255,0.562,FBA
211,0.0,0.0,0.0,0.0,0.0,0.0,0.002,A6PAG2
212,1.15107923193e-12,1.36424205266e-12,1.01670204667e-12,-5.58793544769e-12,-5.45696821064e-12,4.09978976275e-12,0.074,FCLPA
213,0.890010488737,0.534338377647,1.22189811681,1.13009962755,0.933130707005,0.835508185372,0.746,ID6P
214,-149.486244575,-147.727684872,46.1068670417,-220.818917298,-231.827572747,80.7927429164,0.564,FBA3
215,1.29239158505,0.830747548833,1.29427355269,1.14382238059,0.948096786628,0.931197671564,0.976,S7AP
216,-487.470879369,-495.324871153,83.8939110467,-450.656536019,-440.184061967,76.3749170795,0.604,DGAK
217,-5.71844793739e-14,0.0,9.77131412564e-14,2.13060502574e-12,1.5916157281e-12,2.37653056105e-12,0.5,MAN6PI
218,0.0,0.0,0.0,0.0,0.0,0.0,0.002,M1PD
219,1.39857547765e-12,1.02318153949e-12,2.13663519486e-12,-1.13686837722e-16,0.0,3.59509347183e-15,0.23,SBTD_D2
220,1.33870960174,1.07159036949,1.07389403704,1.22794961225,1.05730193897,0.924163217645,0.902,CD6P
221,-514.064648828,-519.879375373,95.3295961281,-562.384297442,-560.764650112,53.3647530742,0.8,UH1U
222,6.82063287271e-14,8.66990045769e-14,4.26717849156e-14,-9.73360514022e-14,-1.02389311078e-13,4.73933273053e-14,0.002,FBA2
223,0.676016884858,0.410626207852,0.699372120159,1.09794413812,0.950841954371,0.970625030656,0.658,AD6P
224,0.428844661221,0.285938585076,0.423642329864,0.332101930866,0.228645774047,0.318389292024,0.936,MAN1PT
225,8.28338185842e-14,9.72218280047e-14,4.16895539678e-14,9.13065240896e-14,8.66273971716e-14,6.62450063783e-14,0.886,HEX7
226,-1.11384031953e-13,-9.50270602568e-14,5.97270044065e-14,-1.21783667538e-13,-1.24265380806e-13,6.22618483697e-14,0.922,CT6PT
227,1.46196716035e-14,1.22347543261e-14,7.93700600027e-15,-3.05868158705e-16,-3.46835990852e-16,1.69943633514e-16,0.002,GALM2
228,445.496791842,456.919314205,106.103417074,276.301372356,294.603134941,86.6037244691,0.086,G6PI_1
229,-4.09705101935e-15,-4.26109235708e-15,2.41389828477e-15,1.26703013621e-13,1.23508096511e-13,6.15985743466e-14,0.002,AT6PT
230,-2.44313014264e-13,-2.27373675443e-13,5.87415572466e-13,-1.41540112963e-13,-2.27373675443e-13,2.52320781836e-13,0.658,GNTO
231,514.064648828,519.879375373,95.3295961281,562.384297442,560.764650112,53.3647530742,0.8,UGLT
232,1.99111127586e-12,1.5916157281e-12,1.75381537369e-12,1.71564806806e-12,1.47792889038e-12,1.15120066696e-12,0.95,UDPG4E
233,5.24820592075e-14,3.15106882105e-14,5.00440289292e-14,2.37357606258e-13,1.44163157762e-13,2.19859819502e-13,0.2,UT6PT
234,6.71328967717e-14,6.75978333397e-14,4.11702795637e-14,1.75304927696e-13,1.12126004547e-13,1.31544494875e-13,0.204,GALKr
